title,url
Genesys Cloud: Edge - Troubleshooting,https://beyond.genesys.com/explore/course/genesys-cloud-edge-troubleshooting
Genesys Cloud: API - Workforce Management,https://beyond.genesys.com/explore/course/genesys-cloud-api-workforce-management
Genesys Cloud: Social Listening - Setup and Configuration,https://beyond.genesys.com/explore/course/genesys-cloud-social-listening-setup-and-configuration
